zips,cbsa,cbsa_type
71463,-2,-2
70131,35380,1
70808,12940,1
70760,12940,1
70084,35380,1
71449,-2,-2
70457,35380,1
70360,26380,1
70508,29180,1
70526,18940,2
70616,29340,1
70402,25220,2
70813,12940,1
71107,43340,1
70503,29180,1
70427,14220,2
70570,36660,2
71282,45260,2
70562,34020,2
70301,26380,1
71446,22860,2
70125,35380,1
70380,34020,2
04103,38860,1
04609,-2,-2
04240,30340,1
04401,12620,1
04011,38860,1
04210,30340,1
04901,12300,2
04937,-2,-2
04330,12300,2
04938,-2,-2
04743,-2,-2
04654,-2,-2
04469,12620,1
04420,-2,-2
04769,-2,-2
04005,38860,1
04101,38860,1
04084,38860,1
04106,38860,1
04988,-2,-2
04619,-2,-2
21502,19060,1
21012,12580,1
21215,12580,1
21201,12580,1
21202,12580,1
20715,47900,1
20708,47900,1
21901,37980,1
20646,47900,1
21679,20660,2
20912,47900,1
21216,12580,1
21702,47900,1
21532,19060,1
21541,-2,-2
21204,12580,1
21742,25180,1
21015,12580,1
21701,47900,1
21044,12580,1
21218,12580,1
21210,12580,1
20783,47900,1
21250,12580,1
20742,47900,1
21217,12580,1
21853,41540,1
20850,47900,1
21251,12580,1
21727,47900,1
21208,12580,1
20774,47900,1
21801,41540,1
20686,30500,2
21205,12580,1
21401,12580,1
21252,12580,1
21402,12580,1
21153,12580,1
20706,47900,1
21620,-2,-2
21157,12580,1
21804,41540,1
01109,44140,1
01002,44140,1
01612,49340,1
01609,49340,1
01561,49340,1
02457,14460,1
01106,44140,1
02116,14460,1
01615,49340,1
02452,14460,1
02215,14460,1
01201,38340,1
02115,14460,1
02467,14460,1
02454,14460,1
02325,14460,1
02720,39300,1
02129,14460,1
02138,14460,1
02668,12700,1
02124,14460,1
01610,49340,1
02186,14460,1
02038,14460,1
02170,14460,1
01915,14460,1
01420,49340,1
01701,14460,1
01984,14460,1
01301,44140,1
02459,14460,1
02445,14460,1
01040,44140,1
02466,14460,1
01854,14460,1
01907,14460,1
01003,44140,1
02125,14460,1
02481,14460,1
02139,14460,1
02532,12700,1
02302,14460,1
01845,14460,1
01730,14460,1
01075,44140,1
01440,49340,1
01571,14460,1
01247,38340,1
01923,14460,1
01830,14460,1
01013,44140,1
02169,14460,1
01606,49340,1
02493,14460,1
02120,14460,1
01970,14460,1
01230,38340,1
01063,44140,1
01105,44140,1
02747,39300,1
02357,39300,1
02108,14460,1
02155,14460,1
01119,44140,1
01086,44140,1
02766,39300,1
01267,38340,1
01602,49340,1
49221,10300,2
49224,12980,1
48801,10940,2
49707,10980,2
49104,35660,1
49506,24340,1
48867,37020,2
48507,22420,1
49829,21540,2
49546,24340,1
48859,34380,2
48503,22420,1
48105,11460,1
48202,19820,1
49503,24340,1
48710,24100,1
48221,19820,1
48197,11460,1
49307,13660,2
49032,44780,2
48504,22420,1
49938,-2,-2
49509,24340,1
49525,24340,1
49401,26100,1
48917,29620,1
48128,19820,1
49423,26100,1
49201,27100,1
49006,28020,1
49003,28020,1
49017,12980,1
48653,-2,-2
49022,35660,1
49783,42300,2
48901,29620,1
48075,19820,1
48235,19820,1
48088,19820,1
48150,19820,1
48307,19820,1
48109,11460,1
48824,29620,1
49931,26340,2
48502,22420,1
48625,-2,-2
48161,33780,1
48885,-2,-2
49442,34740,1
49770,-2,-2
49855,32100,2
49686,45900,2
48640,33220,2
48304,19820,1
48309,19820,1
49076,29620,1
48206,19820,1
48152,19820,1
48061,19820,1
49047,43780,1
49283,27100,1
49930,26340,2
48083,19820,1
48106,11460,1
48226,19820,1
49454,-2,-2
49008,28020,1
55420,33460,1
56308,10820,2
55303,33460,1
55433,33460,1
55454,33460,1
55912,12380,2
56601,13420,2
56001,31860,2
55112,33460,1
56401,14660,2
55057,22060,2
56562,22020,1
55104,33460,1
55068,33460,1
56073,35580,2
55811,20260,1
55807,20260,1
56537,22260,2
56241,-2,-2
56082,31860,2
55445,33460,1
55746,20260,1
55076,33460,1
55744,-2,-2
55402,33460,1
55105,33460,1
56003,31860,2
55121,33460,1
55106,33460,1
55455,33460,1
56716,24220,1
55113,33460,1
55404,33460,1
55403,33460,1
55428,33460,1
55902,40340,1
55812,20260,1
56267,-2,-2
55423,33460,1
56563,22020,1
55120,33460,1
55431,33460,1
56701,-2,-2
55063,-2,-2
56649,-2,-2
55122,33460,1
55904,40340,1
56374,41060,1
56303,41060,1
56301,41060,1
56321,41060,1
55987,49100,2
55375,33460,1
55102,33460,1
56258,32140,2
55731,20260,1
56201,48820,2
55110,33460,1
39096,-2,-2
39202,27140,1
38610,-2,-2
38614,17260,2
39232,27140,1
39191,27140,1
38733,17380,2
39327,-2,-2
39358,32940,2
39154,27140,1
39079,-2,-2
38843,46180,2
39217,27140,1
39437,29860,2
39090,-2,-2
39307,32940,2
39210,27140,1
38761,26940,2
38677,37060,2
39216,27140,1
39701,18060,2
38941,24900,2
39058,27140,1
39573,25060,1
39762,44260,2
38829,-2,-2
38668,32820,1
39470,38100,2
38635,32820,1
39440,29860,2
39666,32620,2
39406,25620,1
39174,27140,1
39073,27140,1
39401,25620,1
64145,28140,1
63045,41180,1
65803,44180,1
65802,44180,1
64147,28140,1
65270,33620,2
65248,17860,1
64093,47660,2
65216,17860,1
64433,32340,2
64772,-2,-2
64850,27900,1
63435,39500,2
63139,41180,1
64131,28140,1
63084,41180,1
63105,41180,1
63401,25300,2
63103,41180,1
63146,41180,1
63050,41180,1
63110,41180,1
65102,27620,1
63301,41180,1
65051,27620,1
63006,41180,1
64081,28140,1
64156,28140,1
63141,41180,1
63701,16020,2
64118,28140,1
63601,22100,2
63122,41180,1
64801,27900,1
63132,41180,1
65340,32180,2
64507,41140,1
65211,17860,1
64110,28140,1
65409,40620,2
63121,41180,1
63501,28860,2
64468,32340,2
65726,14700,2
64152,28140,1
63102,41180,1
63113,41180,1
64132,28140,1
65807,44180,1
63026,41180,1
63033,41180,1
63135,41180,1
65613,44180,1
65775,48460,2
64114,28140,1
65301,42740,2
65215,17860,1
65804,44180,1
