UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
105792,3,R,4573,R,2297,R,1718,R,558
105792,11,R,1540,R,263,R,196,R,1081
105899,1,R,1368,R,295,R,750,R,323
105899,2,R,1343,R,281,R,743,R,319
105899,3,R,1212,R,185,R,730,R,297
105899,11,R,131,R,96,R,13,R,22
105899,12,R,25,R,14,R,7,R,4
106041,1,R,2612,A,,A,,R,2612
106041,2,R,2612,A,,A,,R,2612
106041,3,R,2612,A,,A,,R,2612
106148,1,R,9665,R,3047,R,2215,R,4403
106148,2,R,9665,R,3047,R,2215,R,4403
106148,3,R,5038,R,2310,R,1555,R,1173
106148,11,R,4627,R,737,R,660,R,3230
106245,1,R,10086,R,4355,R,2751,R,2980
106245,2,R,7152,R,2929,R,2181,R,2042
106245,3,R,5815,R,2675,R,2166,R,974
106245,11,R,1337,R,254,R,15,R,1068
106245,12,R,2934,R,1426,R,570,R,938
106263,1,R,3697,R,1312,R,759,R,1626
106263,2,R,1667,R,1128,R,228,R,311
106263,3,R,1539,R,1106,R,193,R,240
106263,11,R,128,R,22,R,35,R,71
106263,12,R,2030,R,184,R,531,R,1315
106306,1,R,522,R,18,R,174,R,330
106306,2,R,522,R,18,R,174,R,330
106306,3,R,515,R,18,R,174,R,323
106306,11,R,7,R,0,R,0,R,7
106315,1,R,145,A,,A,,R,145
106315,2,R,145,A,,A,,R,145
106315,3,R,145,A,,A,,R,145
106324,1,R,78,A,,A,,R,78
106324,2,R,78,A,,A,,R,78
106324,3,R,78,A,,A,,R,78
106342,1,R,598,R,0,R,160,R,438
106342,2,R,597,R,0,R,160,R,437
106342,3,R,586,R,0,R,157,R,429
106342,11,R,11,R,0,R,3,R,8
106342,12,R,1,R,0,R,0,R,1
106351,1,R,117,A,,A,,R,117
106351,2,R,117,A,,A,,R,117
106351,3,R,117,A,,A,,R,117
106397,1,R,34602,R,4358,R,13370,R,16874
106397,2,R,29055,R,2241,R,12667,R,14147
106397,3,R,28727,R,2159,R,12644,R,13924
106397,11,R,328,R,82,R,23,R,223
106397,12,R,5547,R,2117,R,703,R,2727
106412,1,R,2305,R,164,R,1771,R,370
106412,2,R,2062,R,122,R,1656,R,284
106412,3,R,2044,R,119,R,1653,R,272
106412,11,R,18,R,3,R,3,R,12
106412,12,R,243,R,42,R,115,R,86
106449,1,R,4027,R,1248,R,1402,R,1377
106449,2,R,4027,R,1248,R,1402,R,1377
106449,3,R,2517,R,847,R,1196,R,474
106449,11,R,1510,R,401,R,206,R,903
106458,1,R,20313,R,11658,R,5550,R,3105
106458,2,R,11471,R,3793,R,5238,R,2440
106458,3,R,10551,R,3651,R,5080,R,1820
106458,11,R,920,R,142,R,158,R,620
106458,12,R,8842,R,7865,R,312,R,665
106467,1,R,10783,R,3025,R,4603,R,3155
106467,2,R,9882,R,2530,R,4263,R,3089
106467,3,R,6730,R,1287,R,4081,R,1362
106467,11,R,3152,R,1243,R,182,R,1727
106467,12,R,901,R,495,R,340,R,66
106485,1,R,3377,R,910,R,1748,R,719
106485,2,R,2707,R,490,R,1563,R,654
106485,3,R,2209,R,433,R,1558,R,218
106485,11,R,498,R,57,R,5,R,436
106485,12,R,670,R,420,R,185,R,65
106494,1,R,62,A,,A,,R,62
106494,2,R,62,A,,A,,R,62
106494,3,R,62,A,,A,,R,62
106546,1,R,740,R,0,R,17,R,723
106546,2,R,740,R,0,R,17,R,723
106546,3,R,740,R,0,R,17,R,723
106625,1,R,2178,R,718,R,742,R,718
106625,2,R,2178,R,718,R,742,R,718
106625,3,R,1391,R,573,R,465,R,353
106625,11,R,787,R,145,R,277,R,365
106704,1,R,10989,R,1955,R,5610,R,3424
106704,2,R,8682,R,759,R,4981,R,2942
106704,3,R,8037,R,665,R,4952,R,2420
106704,11,R,645,R,94,R,29,R,522
106704,12,R,2307,R,1196,R,629,R,482
106713,1,R,589,R,61,R,315,R,213
